plot_idx,block_idx,block_reward_type,block_forced_type,rewards,forgone_rewards,regrets,perc_opt_actions
3000,24.0,0.0,0.0,0.49270833,0.29270834,,0.042604167,0.8390625
3000,24.0,1.0,1.0,0.48802084,0.36041668,,0.017864583,0.8901042
3000,24.0,2.0,0.0,0.50677085,0.30520833,,0.048625,0.82708335
3000,24.0,3.0,1.0,0.5125,0.29270834,,0.017645834,0.8953125
3000,25.0,0.0,0.0,0.49270833,0.32395834,,0.042385414,0.840625
3000,25.0,1.0,1.0,0.48802084,0.33125,,0.016885417,0.890625
3000,25.0,2.0,0.0,0.50677085,0.29895833,,0.046770833,0.8276042
3000,25.0,3.0,1.0,0.5125,0.30520833,,0.01796875,0.89479166
3000,26.0,0.0,0.0,0.49270833,0.28958333,,0.040458333,0.84583336
3000,26.0,1.0,1.0,0.48802084,0.34479168,,0.016572917,0.89375
3000,26.0,2.0,0.0,0.50677085,0.26458332,,0.0491875,0.8229167
3000,26.0,3.0,1.0,0.5125,0.29895833,,0.017416665,0.8921875
3000,27.0,0.0,0.0,0.49270833,0.32395834,,0.038072918,0.85260415
3000,27.0,1.0,1.0,0.48802084,0.31875,,0.015104166,0.89739585
3000,27.0,2.0,0.0,0.50677085,0.27708334,,0.046885416,0.82447916
3000,27.0,3.0,1.0,0.5125,0.27916667,,0.016885417,0.89166665
3000,28.0,0.0,0.0,0.49270833,0.29375,,0.037677083,0.85
3000,28.0,1.0,1.0,0.48802084,0.34479168,,0.01403125,0.9010417
3000,28.0,2.0,0.0,0.50677085,0.25729167,,0.047458336,0.8296875
3000,28.0,3.0,1.0,0.5125,0.30208334,,0.0165625,0.8958333
3000,29.0,0.0,0.0,0.49270833,0.303125,,0.03923958,0.84375
3000,29.0,1.0,1.0,0.48802084,0.36875,,0.0145000005,0.9
3000,29.0,2.0,0.0,0.50677085,0.315625,,0.045291666,0.83125
3000,29.0,3.0,1.0,0.5125,0.29166666,,0.014927084,0.9010417
3000,30.0,0.0,0.0,0.49270833,0.31458333,,0.03746875,0.85
